,BuildingType,PrimaryPropertyType,PropertyName,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,ENERGYSTARScore,Latitude,Longitude,TotalGHGEmissions,SiteEnergyUse(kBtu)
41,NonResidential,"Self-Storage Facility
",MINI STG (OLD SKYWAY LUGGAGE CO),7,downtown,1911,1.0,3.0,0,70586,"Office, Self-Storage Facility, Vocational School",Self-Storage Facility,38439.0,,47.61311034,-122.35096928,39.87,2147062.0
42,NonResidential,Hotel,HILTON SEATTLE,7,downtown,1969,1.0,24.0,205970,126240,Hotel,Hotel,348630.0,68.0,47.60950466,-122.33340290000001,263.85,15660628.0
43,NonResidential,Large Office,5th and Pine,7,downtown,1973,1.0,5.0,0,168115,"Data Center, Office, Retail Store",Office,103501.0,79.0,47.61103976,-122.33634840000002,64.23,9213841.0
44,NonResidential,Retail Store,CENTURY SQUARE RETAIL,7,downtown,1920,1.0,2.0,0,57428,"Non-Refrigerated Warehouse, Other, Retail Store",Retail Store,34617.0,,47.61076355,-122.337677,0.0,0.0
45,NonResidential,Small- and Mid-Sized Office,GIBRALTAR TOWER,7,downtown,1910,1.0,8.0,0,59400,"Office, Retail Store",Office,34947.0,,47.610465999999995,-122.33795929,27.3,3915947.0
46,NonResidential,Mixed Use Property,MANN BUILDING/WILD GINGER/TRIPLE DOOR,7,downtown,1926,1.0,2.0,0,52549,"Office, Other - Entertainment/Public Assembly, Restaurant",Other - Entertainment/Public Assembly,23500.0,,47.60883331,-122.3374176,583.41,15583947.0
47,Multifamily LR (1-4),Low-Rise Multifamily,GATEWOOD APTS,7,downtown,1900,1.0,4.0,0,48383,"Multifamily Housing, Retail Store",Multifamily Housing,38172.0,75.0,47.60973588,-122.34038419999999,112.06,2953338.0
48,NonResidential,Hotel,ROOSEVELT HOTEL,7,downtown,1930,1.0,20.0,10043,88591,"Hotel, Parking, Restaurant",Hotel,83591.0,46.0,47.61229324,-122.33441925,77.8,6175812.0
50,NonResidential,Hotel,INN AT THE MARKET,7,downtown,1985,1.0,7.0,0,71150,"Hotel, Parking, Restaurant, Retail Store",Hotel,41340.0,99.0,47.60989093,-122.34142549999999,126.83,5040382.0
51,NonResidential,Hotel,MOORE HOTEL & THEATRE,7,downtown,1908,1.0,7.0,0,122810,"Hotel, Other - Entertainment/Public Assembly, Retail Store",Hotel,88360.0,99.0,47.61155254,-122.3408486,209.92,5086863.0
52,NonResidential,Hotel,QUALITY INN & SUITES - SEATTLE,7,lake union,1959,1.0,5.0,42546,70627,,,,86.0,47.62037281,-122.34414650000001,120.73,4988241.0
53,NonResidential,Hotel,HOLIDAY INN - SEATTLE,7,lake union,2000,1.0,7.0,34735,115718,"Hotel, Restaurant",Hotel,107547.0,83.0,47.620311799999996,-122.3428044,191.58,6722886.0
54,NonResidential,Hotel,HOLIDAY INN EXPRESS - DOWNTOWN SEATTLE,7,lake union,1997,1.0,6.0,28200,88100,"Hotel, Parking",Hotel,88490.0,84.0,47.62021696,-122.3432115,170.01,6014078.0
55,NonResidential,Hotel,HOMEWOOD SUITES HOTEL - SEATTLE,7,magnolia / queen anne,1998,1.0,6.0,36744,118858,Hotel,Hotel,155602.0,81.0,47.62050588,-122.35969009999998,156.59,6915293.0
56,NonResidential,K-12 School,SEATTLE HEBREW ACADAMY,3,east,1911,1.0,3.0,0,56072,K-12 School,K-12 School,56072.0,77.0,47.63445532,-122.30801629999999,139.62,3106930.0
57,NonResidential,Hotel,COMFORT SUITES SEATTLE CENTER,7,magnolia / queen anne,1999,1.0,4.0,44891,78051,"Hotel, Parking",Hotel,78051.0,94.0,47.62498256,-122.3445605,169.49,5276777.0
58,NonResidential,Small- and Mid-Sized Office,WA DEPT OF SOCIAL & HEALTH SERVICES,3,central,1962,1.0,2.0,0,54984,Office,Office,54984.0,65.0,47.60841187,-122.30954409999998,85.51,3504957.0
60,NonResidential,Senior Care Community,FOSS HOME AND VILLAGE,5,northwest,1970,1.0,2.0,0,93397,Senior Care Community,Senior Care Community,93397.0,1.0,47.72389349,-122.35629979999999,602.0,16371764.0
61,NonResidential,Hotel,SCCA - ALLIANCE HOUSE,7,lake union,2008,1.0,6.0,20732,63371,"Hotel, Parking",Hotel,63371.0,68.0,47.61990903,-122.3320457,74.04,3979132.0
63,NonResidential,Medical Office,"POLYCLINIC MEDICAL OFFICE, NORTH BUILDING",3,east,1965,1.0,3.0,0,179014,Medical Office,Medical Office,179014.0,48.0,47.61249662,-122.3213373,563.78,18868768.0
64,NonResidential,Hotel,SORRENTO HOTEL,3,east,1908,1.0,7.0,0,76631,Hotel,Hotel,76631.0,24.0,47.60895788,-122.3268374,255.64,7231928.0
65,NonResidential,Mixed Use Property,PUGET SOUND BLOOD CENTER,3,east,1983,1.0,6.0,18493,169107,"Data Center, Medical Office, Non-Refrigerated Warehouse, Office, Other, Parking",Medical Office,40174.0,,47.60831445,-122.32661920000001,444.42,15240688.0
66,NonResidential,Retail Store,FIRESTONE TIRE AND RUBBER CO,7,lake union,1929,1.0,2.0,0,58320,Retail Store,Retail Store,72072.0,95.0,47.622375,-122.33805,39.69,1074180.0
67,NonResidential,Large Office,CITY PLACE III,7,lake union,2010,1.0,5.0,0,316306,"Office, Other, Parking, Retail Store",Office,261826.0,96.0,47.62428336,-122.33589247,131.03,13300859.0
68,NonResidential,Hotel,MARRIOTT RESIDENCE INN,3,lake union,1990,1.0,7.0,44766,238097,"Hotel, Parking",Hotel,235788.0,40.0,47.6263594,-122.33313100000001,509.18,18829136.0
69,Nonresidential COS,Other,KEY ARENA - SEATTLE CENTER,7,magnolia / queen anne,1962,1.0,1.0,0,129000,Other,Other,368000.0,,47.62124083,-122.35343219999999,760.51,29337400.0
70,Nonresidential COS,Other,BAGLEY WRIGHT THEATER - SEATTLE CENTER,7,magnolia / queen anne,1962,1.0,1.0,0,91213,Other,Other,65000.0,,47.62124083,-122.35343219999999,123.28,5069854.0
71,Nonresidential COS,Other,ARMORY - SEATTLE CENTER,7,magnolia / queen anne,1938,1.0,5.0,0,396085,Other,Other,278500.0,,47.62189039,-122.35027520000001,900.81,27185096.0
72,NonResidential,Large Office,CITY PLACE IV,7,lake union,2010,1.0,12.0,0,571329,"Office, Other, Parking",Office,598801.0,89.0,47.62099765,-122.33592466,636.96,41734776.0
73,Nonresidential COS,Other,EXHIBITION HALL - SEATTLE CENTER,7,magnolia / queen anne,1962,1.0,2.0,0,49680,Other,Other,52000.0,,47.62393635,-122.35193000000001,96.39,2632472.0
74,Nonresidential COS,Other,MERCER ARENA - SEATTLE CENTER,7,magnolia / queen anne,1928,1.0,1.0,0,60696,Other,Other,108000.0,,47.62388082,-122.3499699,6.45,924980.0
75,Nonresidential COS,Other,MCCAW HALL - SEATTLE CENTER,7,magnolia / queen anne,1928,1.0,2.0,0,262048,Other,Other,296000.0,,47.62388082,-122.3499699,398.51,20828130.0
76,NonResidential,Small- and Mid-Sized Office,KCTS 9,7,magnolia / queen anne,1986,1.0,2.0,2352,63888,"Data Center, Distribution Center, Office, Parking, Retail Store",Office,45900.0,,47.623925,-122.34834170000002,30.19,4329966.0
77,NonResidential,Large Office,BILL & MELINDA GATES FOUNDATION,7,magnolia / queen anne,2010,1.0,6.0,303707,616891,"Office, Other, Parking",Office,729584.0,93.0,47.62334946,-122.344706,634.03,36681188.0
78,NonResidential,Small- and Mid-Sized Office,SCRIPPS BUILDING - 221 FIRST AVENUE WEST,7,magnolia / queen anne,1970,1.0,4.0,25930,50283,"Office, Other, Parking",Office,48546.0,72.0,47.62038448,-122.35842690000001,45.83,3303553.0
79,NonResidential,Hotel,THE MEDITERRANEAN INN,7,magnolia / queen anne,2002,1.0,6.0,36934,80804,"Hotel, Parking",Hotel,59976.0,52.0,47.62294488,-122.3571048,138.68,5061274.0
80,NonResidential,Hotel,UNIVERSITY INN,4,northeast,1962,1.0,4.0,0,50017,"Hotel, Swimming Pool",Hotel,50017.0,51.0,47.65774638,-122.3175345,196.34,5570472.0
81,SPS-District K-12,K-12 School,COOPER ELEMENTARY SCHOOL (SPS-DISTRICT),1,delridge,1999,1.0,3.0,0,74468,K-12 School,K-12 School,74768.0,85.0,47.56261299,-122.35792830000001,25.2,1857329.0
82,NonResidential,K-12 School,ST JOSEPH K-8 SCHOOL,3,east,1923,1.0,3.0,0,67743,K-12 School,K-12 School,67743.0,43.0,47.6262348,-122.3081985,63.95,2303288.0
83,NonResidential,K-12 School,HOLY NAMES ACADEMY,3,east,1908,1.0,6.0,0,194104,K-12 School,K-12 School,194104.0,100.0,47.62595722,-122.30416399999999,229.98,5889882.0
84,NonResidential,Small- and Mid-Sized Office,THE 2100 BUILDING,3,southeast,2003,1.0,3.0,35752,63681,"Office, Parking",Office,63681.0,71.0,47.58406769,-122.30127069999999,30.95,4439034.0
85,SPS-District K-12,K-12 School,MUIR ELEMENTARY SCHOOL(SPS-DISTRICT),2,southeast,1991,1.0,2.0,0,58933,K-12 School,K-12 School,60725.0,71.0,47.57334571,-122.2906221,14.99,2150120.0
86,SPS-District K-12,K-12 School,MERCER JR HIGH SCHOOL (SPS-DISTRICT),2,greater duwamish,1957,1.0,1.0,0,130862,K-12 School,K-12 School,132060.0,65.0,47.56301254,-122.3112112,211.49,5851209.0
87,SPS-District K-12,K-12 School,ORCA AT WHITWORTH ELEMENTARY SCHOOL (SPS-DISTRICT),2,southeast,1989,1.0,3.0,0,59955,K-12 School,K-12 School,59955.0,94.0,47.55446464,-122.2764003,15.1,1521329.0
88,SPS-District K-12,K-12 School,MCCLURE MIDDLE (SPS-DISTRICT),7,magnolia / queen anne,1964,1.0,2.0,0,93218,K-12 School,K-12 School,93218.0,84.0,47.6367344,-122.35894520000001,97.38,3072599.0
89,NonResidential,Other,CENTURYLINK: LAKEVIEW MAIN,4,northeast,1941,1.0,4.0,0,56521,Other,Other,49000.0,,47.67530479999999,-122.31534199999999,44.92,6443260.0
90,NonResidential,Other,ROOSEVELT SQUARE,4,northeast,1929,1.0,2.0,0,206934,"Other, Parking",Other,119146.0,,47.6756688,-122.3161909,139.24,4461969.0
91,NonResidential,Hotel,HOLIDAY INN EXPRESS - SEATTLE NORTH,5,northwest,2001,1.0,4.0,0,51390,"Hotel, Parking",Hotel,51390.0,86.0,47.73127184,-122.3462382,138.87,3864699.0
92,SPS-District K-12,K-12 School,BROADVIEW THOMSON ELEMENTARY (SPS-DISTRICT),5,northwest,1963,1.0,2.0,0,131013,K-12 School,K-12 School,131909.0,88.0,47.72465187,-122.3539331,127.52,3939221.0
93,SPS-District K-12,K-12 School,INGRAHAM HIGH (SPS-DISTRICT),5,northwest,1959,1.0,1.0,0,245587,K-12 School,K-12 School,245587.0,95.0,47.72595704,-122.33759479999999,377.09,10444297.0
94,NonResidential,Hotel,EXTENDED STAY AMERICA,5,northwest,2002,1.0,3.0,0,69138,Hotel,Hotel,70609.0,75.0,47.72527664,-122.34109740000001,88.4,3298570.0
95,SPS-District K-12,K-12 School,B F DAY ELEMENTARY (SPS-DISTRICT),6,lake union,1991,1.0,3.0,0,66588,K-12 School,K-12 School,66588.0,75.0,47.65474724,-122.3490987,14.17,2033074.0
96,NonResidential,Hotel,ALEXIS HOTEL,7,downtown,1904,1.0,5.0,0,190980,"Hotel, Parking",Hotel,190980.0,97.0,47.60477066,-122.33677673,150.23,6935723.0
97,Nonresidential COS,Other,BENAROYA HALL,7,downtown,1998,1.0,6.0,0,284100,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,189750.0,,47.60810553,-122.3369663,338.23,14169301.0
99,SPS-District K-12,K-12 School,WEST WOODLAND PARK ELEMENTARY (SPS-DISTRICT),6,ballard,1991,1.0,2.0,0,55513,K-12 School,K-12 School,57904.0,91.0,47.67031559,-122.3622592,11.24,1612965.0
100,Nonresidential COS,Other,FIRE STATION 10/FAC/EOC,2,downtown,2006,1.0,4.0,0,61156,"Office, Other",Other,42755.0,,47.60158047,-122.32771508,220.94,10434387.0
101,NonResidential,Other,WING LUKE MUSEUM/KONG YICK BLDG.,2,downtown,1910,1.0,4.0,0,72820,Museum,Museum,58000.0,,47.59809588,-122.32282830000001,42.99,2076630.0
102,NonResidential,Hotel,HAMPTON INN & SUITES,7,magnolia / queen anne,1996,1.0,4.0,14200,148022,"Hotel, Parking",Hotel,113702.0,75.0,47.62557152,-122.347197,208.03,7753080.0
103,SPS-District K-12,K-12 School,FRANKLIN HIGH SCHOOL (SPS-DISTRICT),2,southeast,1990,1.0,4.0,0,289588,K-12 School,K-12 School,289588.0,92.0,47.57604857,-122.2928463,181.93,8747819.0
104,NonResidential,College/University,SCC FINE ARTS BLDG,3,east,1915,1.0,3.0,0,63330,College/University,College/University,64820.0,,47.61496242,-122.3217405,60.35,2755578.0
105,Campus,College/University,SOUTH SEATTLE COMMUNITY COLLEGE - CAMPUS MASTER ID,1,delridge,1970,1.0,2.0,0,441071,College/University,College/University,483000.0,,47.54550494,-122.3500523,839.79,37430780.0
106,NonResidential,Small- and Mid-Sized Office,SEATTLE CHILDREN'S HOSPITAL (70th & SAND POINT ADMIN BLDG),4,northeast,2002,1.0,2.0,0,96300,"Data Center, Office",Office,92300.0,,47.67843749,-122.26417020000001,224.13,16238985.0
107,Nonresidential COS,Other,CSC Vehicle Maintenance (E),2,greater duwamish,1950,1.0,1.0,0,67356,"Repair Services (Vehicle, Shoe, Locksmith, etc)","Repair Services (Vehicle, Shoe, Locksmith, etc)",68359.0,,47.59455098,-122.32181270000001,211.33,6577130.0
108,SPS-District K-12,K-12 School,GARFIELD HIGH (SPS-DISTRICT),3,central,2008,1.0,3.0,0,254523,K-12 School,K-12 School,254523.0,62.0,47.60502046,-122.30183259999998,366.61,13609040.0
109,SPS-District K-12,K-12 School,EMERSON ELEMENTARY SCHOOL (SPS-DISTRICT),2,southeast,2001,1.0,3.0,0,78804,K-12 School,K-12 School,78804.0,92.0,47.51466446,-122.25881869999999,53.45,2447651.0
110,SPS-District K-12,K-12 School,MADRONA SCHOOL (SPS-DISTRICT),3,central,2002,1.0,3.0,0,66994,K-12 School,K-12 School,66994.0,83.0,47.61229388,-122.2908219,39.29,2266570.0
111,SPS-District K-12,K-12 School,VAN ASSELT @  (SPS-DISTRICT),2,greater duwamish,2000,1.0,3.0,0,98357,K-12 School,K-12 School,98357.0,90.0,47.52933502,-122.28844452,82.55,3265995.0
112,NonResidential,Small- and Mid-Sized Office,UNION GOSPEL MISSION ASSN,2,greater duwamish,1958,1.0,1.0,0,54765,"Office, Other",Office,25765.0,,47.53830025,-122.28405320000002,59.61,4316654.0
113,NonResidential,Other,UNION GOSPEL MISSION ASSN / HOPE PLACE,2,greater duwamish,2009,1.0,5.0,0,89821,"Food Service, Office, Other - Lodging/Residential",Other - Lodging/Residential,46483.0,,47.53830025,-122.28405320000002,104.17,2017694.0
114,NonResidential,College/University,OTTO MILLER HALL,7,magnolia / queen anne,1980,1.0,2.0,0,52611,College/University,College/University,52611.0,,47.65153666,-122.36154640000001,105.32,4399828.0
115,NonResidential,Residence Hall/Dormitory,"EMERSON HALL, SEATTLE PACIFIC UNIVERSITY",7,magnolia / queen anne,2001,1.0,4.0,37500,102100,Residence Hall/Dormitory,Residence Hall/Dormitory,135520.0,88.0,47.65076266,-122.3638034,123.02,4418055.0
116,SPS-District K-12,K-12 School,NATHAN HALE HIGH (SPS-DISTRICT),5,north,2011,1.0,2.0,0,236758,"K-12 School, Parking",K-12 School,237357.0,96.0,47.70783561,-122.294626,202.97,8050977.0
117,NonResidential,Other,YOUTH SERVICES CENTER - KING COUNTY,3,central,1971,1.0,6.0,0,250981,"Courthouse, Other",Other,137565.0,,47.60411727,-122.3153334,398.56,13901935.0
118,SPS-District K-12,K-12 School,GREENWOOD ELEMENTARY (SPS-DISTRICT),6,northwest,2002,1.0,3.0,0,62526,K-12 School,K-12 School,62526.0,97.0,47.68734351,-122.3598407,49.08,1841968.0
119,NonResidential,Small- and Mid-Sized Office,EMERALD SERVICES,2,greater duwamish,2007,1.0,3.0,0,64015,"Non-Refrigerated Warehouse, Office, Other - Services",Office,30000.0,19.0,47.5353246,-122.3186034,53.27,3349666.0
120,NonResidential,Retail Store,NORTHGATE MALL SHOPPING CENTER RETAIL STORES  - ACTIVE/PRIMARY ID,5,north,1951,1.0,1.0,0,530039,"Restaurant, Retail Store",Retail Store,505103.0,98.0,47.70752593,-122.3267018,765.56,29067292.0
121,NonResidential,Other,KINDRED HOSPITAL,5,north,1964,1.0,3.0,0,54224,Other/Specialty Hospital,Other/Specialty Hospital,47012.0,,47.70624752,-122.3217548,249.01,7613116.0
122,NonResidential,Retail Store,NORDSTROM- NORTHGATE MALL,5,north,1965,1.0,4.0,0,124342,Retail Store,Retail Store,122000.0,75.0,47.70798492,-122.32534027,65.14,8835104.0
124,NonResidential,Other,Verity Credit Union,5,northwest,1996,1.0,3.0,0,55442,"Financial Office, Medical Office, Parking",Financial Office,28636.0,74.0,47.70952866,-122.33465749999999,80.49,3091559.0
125,SPS-District K-12,K-12 School,BALLARD HIGH (SPS-DISTRICT),6,ballard,1999,1.0,2.0,0,242795,K-12 School,K-12 School,242795.0,82.0,47.67678666,-122.37396820000001,119.09,8728584.0
126,NonResidential,"Self-Storage Facility
",MADISON SELF STORAGE (NOT PART OF CAMPUS),3,east,1910,1.0,5.0,0,84870,Self-Storage Facility,Self-Storage Facility,85521.0,,47.61229181,-122.3170942,40.35,1136698.0
127,Campus,College/University,NORTH SEATTLE COMMUNITY COLLEGE CAMPUS MASTER ID,5,northwest,1970,11.0,2.0,111625,582447,College/University,College/University,667265.0,,47.69879162,-122.3338342,440.31,37117212.0
128,SPS-District K-12,K-12 School,SHARPLES JR HIGH (SPS-DISTRICT),2,southeast,1952,1.0,2.0,0,173185,K-12 School,K-12 School,173185.0,72.0,47.54657866,-122.2820193,282.34,6863464.0
129,SPS-District K-12,K-12 School,BOREN JR. HIGH SCHOOL (SPS-DISTRICT),1,delridge,1963,1.0,1.0,0,145341,K-12 School,K-12 School,139069.0,77.0,47.54806021,-122.36200190000001,177.1,4998015.0
130,NonResidential,Non-Refrigerated Warehouse,RAINIER BOTTLING PLANT,2,greater duwamish,1904,1.0,4.0,0,114297,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,114297.0,67.0,47.54941628,-122.31604209999999,52.94,1738724.0
131,SPS-District K-12,K-12 School,RAINIER BEACH HIGH SCHOOL (SPS-DISTRICT),2,southeast,1960,1.0,2.0,0,184125,K-12 School,K-12 School,184125.0,89.0,47.52383423,-122.26601409999998,294.12,8037287.0
132,SPS-District K-12,K-12 School,WHITMAN JR HIGH (SPS-DISTRICT),6,ballard,1959,1.0,1.0,0,160270,K-12 School,K-12 School,160270.0,79.0,47.69689628,-122.37785259999998,212.02,5674450.0
133,NonResidential,Non-Refrigerated Warehouse,SEARS & OTHERS WAREHOUSE #8109,2,greater duwamish,1937,1.0,1.0,0,234144,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,234144.0,82.0,47.55860699,-122.3332277,320.35,7370743.0
134,NonResidential,Retail Store,WESTWOOD VILLAGE - BLDG A,1,delridge,1966,1.0,1.0,0,64984,Retail Store,Retail Store,65425.0,76.0,47.52131741,-122.36689740000001,32.75,2721646.0
135,NonResidential,Retail Store,WESTWOOD VILLAGE - BLDG B (Includes QFC),1,delridge,1965,1.0,1.0,0,67745,Retail Store,Retail Store,67782.0,31.0,47.52131741,-122.36689740000001,368.63,9560965.0
